white;black;event;year;heatmap
Oren, Menachem;Panno, Oscar;Moscow olm fin-A;1956;0.26,0.21,0.24,0.6,0.15,0.15,1.0,0.07,0.09,0.04,0.24,0.2,0.04,0.11,0.16,0.03,0.07,0.13,0.1,0.14,0.02,0.21,0.1,0.07,0.07,0.04,0.05,0.1,-0.13,0.0,-0.04,0.0,-0.03,0.0,0.04,-0.04,-0.02,-0.03,0.0,0.0,-0.01,-0.17,-0.11,-0.05,-0.15,-0.18,-0.1,-0.02,-0.02,-0.11,-0.1,-0.12,-0.23,-0.08,-0.29,-0.26,-0.17,-0.18,-0.07,-0.6,-0.26,-0.23,-0.86,-0.12
Polgar,Ju;Mareco,S;XII Festival da Uva Open;2012;0.33,0.05,0.08,0.63,0.37,0.15,1.0,0.17,0.04,0.12,0.12,0.23,0.06,0.28,0.09,0.12,0.0,0.13,0.29,0.04,0.19,0.09,0.0,0.0,0.18,0.0,-0.17,0.08,0.06,0.09,0.0,0.0,0.08,0.0,-0.01,-0.03,-0.03,0.0,-0.02,0.0,-0.11,0.13,-0.29,-0.06,-0.08,-0.28,0.0,-0.07,-0.02,-0.12,-0.04,-0.03,-0.32,-0.12,-0.1,-0.05,-0.3,-0.1,-0.38,-0.54,-0.51,-0.54,-0.71,-0.18
Quinteros, Miguel A;Panno, Oscar;Buenos Aires m;1970;0.25,0.02,0.09,0.39,0.55,0.17,0.45,1.0,0.06,0.07,0.01,0.35,0.0,0.04,0.25,0.1,0.06,-0.04,0.08,0.0,0.02,0.28,0.15,0.03,-0.02,0.02,-0.04,-0.01,0.12,0.04,0.0,0.06,0.0,-0.06,-0.03,-0.01,-0.16,0.0,0.11,-0.05,-0.01,-0.08,-0.07,-0.15,-0.01,-0.18,-0.16,-0.02,-0.04,-0.05,-0.14,-0.02,0.04,-0.12,-0.28,-0.5,-0.33,-0.25,-0.04,-0.46,-0.56,-0.03,-0.84,-0.15
Polgar,Ju;Topalov,V;WCh-FIDE;2005;0.27,0.1,0.27,0.72,0.46,0.65,1.0,0.01,0.08,0.05,0.07,0.05,0.14,0.65,0.21,0.04,0.0,0.22,0.14,0.16,0.55,0.34,0.26,-0.06,0.19,0.0,0.19,-0.11,0.11,-0.3,0.12,-0.25,-0.19,0.04,-0.21,0.06,0.21,-0.04,-0.15,-0.24,0.0,-0.21,-0.37,-0.02,-0.2,-0.01,-0.22,-0.04,-0.07,-0.99,-0.26,-0.03,-0.15,-0.31,-0.26,-0.04,-0.39,-0.02,-0.3,-0.59,-0.44,-0.5,0.0,-0.51
Fischer, Robert James;Gloger, J.;Cleveland sim;1964;0.68,0.2,0.04,0.24,0.77,0.31,0.54,0.46,0.23,0.19,0.23,0.23,0.03,0.07,0.23,0.23,0.0,0.0,0.11,0.0,0.0,0.08,0.0,0.0,0.0,-0.1,0.36,0.0,0.15,-0.14,0.0,0.03,0.0,0.0,0.0,-0.04,-0.07,0.07,0.0,0.59,0.0,0.0,-0.08,-0.07,0.0,-0.1,-0.23,0.08,-0.23,-0.23,-0.23,-0.12,-0.23,-0.03,-0.19,-0.23,-0.68,-0.19,-0.35,-0.64,-1.0,-0.41,-0.17,-0.68
Aaron, Manuel;Fischer, Robert James;Stockholm Interzonal;1962;0.37,0.02,0.05,0.19,0.67,0.12,0.58,0.22,0.05,0.1,0.01,0.53,0.07,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.07,0.06,0.06,0.0,0.05,0.0,-0.03,0.11,0.04,0.02,0.0,-0.08,0.0,0.04,-0.01,-0.06,-0.06,0.0,0.0,0.0,-0.17,0.0,0.0,-0.07,-0.07,-0.09,-0.09,0.0,-0.03,-0.14,-0.02,-0.04,-0.05,-0.1,-0.16,-0.1,-0.3,-0.04,-0.2,-0.46,-0.2,-0.2,-1.0,-0.07
Ponomariov,R;Polgar,Ju;FIDE GP;2002;0.25,0.03,0.23,0.31,0.36,0.15,0.8,0.22,0.03,0.03,-0.01,0.21,0.22,0.36,0.32,0.44,0.39,-0.26,0.39,0.08,0.22,-0.01,0.3,0.28,-0.31,-0.02,0.09,0.12,0.05,0.19,-0.08,0.06,-0.24,0.0,-0.08,-0.08,0.01,-0.02,-0.08,0.1,-0.22,-0.26,-0.13,-0.1,-0.17,-0.27,-0.15,-0.13,-0.08,-0.26,-0.06,-0.16,0.01,-0.3,-0.31,-0.17,-0.28,-0.19,-0.43,-0.02,-0.12,-0.17,-1.0,-0.07
Fischer, Robert James;Larsen, Bent;Freie Partie;1966;0.31,0.12,0.13,0.25,1.0,0.14,0.03,0.33,0.07,-0.04,0.05,0.01,0.0,0.08,0.08,0.08,0.02,0.0,0.04,0.0,0.04,0.01,0.26,0.0,0.0,-0.04,0.03,0.02,0.0,0.0,0.11,0.0,0.0,0.0,0.0,-0.12,0.02,0.0,0.0,0.07,0.0,0.0,0.0,-0.11,-0.37,-0.08,0.0,0.0,-0.08,-0.08,-0.08,-0.12,-0.08,-0.12,-0.08,-0.08,-0.33,-0.04,-0.17,-0.46,-0.37,-0.17,-0.01,-0.33
Kasparov, Gary;Behrhorst, Frank;HSK-Kasparov simul;1987;0.3,0.06,0.03,0.19,0.15,0.42,0.73,0.07,0.06,0.11,0.1,0.0,0.31,0.09,0.17,0.07,-0.01,-0.01,0.04,-0.01,0.0,0.39,0.15,0.03,0.17,-0.07,0.02,0.02,-0.05,0.0,-0.05,0.04,-0.09,0.13,-0.02,-0.02,-0.02,0.02,-0.12,-0.04,0.0,-0.17,-0.16,-0.02,-0.04,-0.13,-0.2,-0.09,-0.07,-0.11,-0.02,-0.11,-0.1,-0.14,-0.05,-0.12,-0.23,-0.06,-0.05,-0.28,-0.18,-0.13,-1.0,-0.06
Panno, Oscar;Hernandez, Roman;Bogota;1978;0.33,0.26,0.45,0.71,0.91,0.48,0.78,0.4,0.18,0.12,0.0,0.13,0.04,0.15,0.18,0.18,0.0,0.07,0.25,0.04,0.18,0.04,0.0,0.03,0.0,0.0,0.18,0.06,0.14,0.09,0.04,0.0,-0.06,0.0,-0.12,0.0,-0.01,0.0,0.0,0.0,0.0,-0.1,-0.11,0.0,-0.11,-0.03,-0.15,0.21,-0.12,-0.26,-0.01,-0.18,-0.25,-0.18,-0.23,-0.18,-0.46,-0.04,-0.47,-1.0,-0.95,-0.4,-0.82,-0.42
Polgar, Judit;Gelfand, Boris;Novgorod;1996;0.29,1.0,0.27,0.65,0.54,0.52,0.14,0.63,0.25,0.26,0.32,0.2,0.03,0.18,0.07,0.27,0.07,0.29,0.11,0.09,0.23,0.16,0.0,0.0,-0.11,0.06,-0.08,0.09,0.16,0.08,0.01,-0.01,0.0,-0.25,-0.18,0.23,-0.14,-0.09,-0.35,0.16,-0.28,-0.06,0.0,-0.24,-0.09,-0.14,-0.27,-0.19,-0.04,-0.07,-0.01,-0.24,-0.03,-0.17,-0.24,-0.43,-0.27,-0.12,-0.52,-0.94,-0.75,-0.41,-0.22,-0.6
Kasparov, Gary;Beliavsky, Alexander G;Moscow Interzonal;1982;0.17,0.14,0.13,0.47,0.51,0.02,1.0,0.05,0.03,0.11,0.03,0.07,0.0,0.09,0.18,0.13,0.07,0.03,0.02,0.0,0.09,0.13,0.03,0.09,0.04,-0.14,0.0,0.02,0.07,0.0,0.03,0.07,-0.07,-0.02,0.0,-0.18,-0.03,0.09,0.0,-0.1,-0.03,0.0,-0.06,-0.19,0.0,-0.08,-0.05,-0.08,-0.01,-0.11,-0.11,-0.02,-0.17,-0.24,-0.05,-0.16,-0.26,-0.01,0.04,-0.54,-0.37,-0.19,-0.62,-0.09
Panno, Oscar;Naranja, Renato;Palma de Mallorca Interzonal;1970;0.33,0.17,0.07,0.23,0.52,0.41,0.23,0.88,0.18,0.34,0.03,0.51,0.14,0.02,1.0,0.1,0.07,0.12,0.34,0.07,0.33,0.18,0.28,0.12,0.14,0.13,0.16,0.02,0.19,-0.02,0.12,0.0,-0.04,0.08,-0.11,0.17,-0.19,0.0,-0.16,-0.1,-0.11,-0.12,0.04,-0.08,0.0,-0.22,-0.41,-0.05,-0.3,-0.21,-0.05,-0.36,-0.2,-0.73,-0.28,-0.38,-0.34,-0.11,-0.15,-0.86,-0.84,-0.15,-0.24,-0.8
Seirawan, Yasser;Kasparov, Gary;Niksic;1983;0.2,0.02,0.14,0.64,0.39,0.52,0.76,0.11,0.12,0.08,0.02,0.3,0.13,0.15,0.16,0.17,0.03,0.1,0.17,0.55,0.11,0.04,0.14,0.0,0.03,-0.07,0.04,0.11,0.07,0.02,0.0,0.04,-0.04,-0.03,-0.33,-0.04,0.0,0.03,0.01,-0.04,-0.05,-0.15,-0.25,-0.21,-0.01,-0.12,-0.03,-0.13,-0.16,-0.09,-0.16,-0.06,-0.29,-0.17,-0.16,-0.17,-0.29,-0.1,-0.17,-0.47,-0.36,-0.16,-1.0,-0.12
Panno, Oscar;Eliskases, Erich Gottlieb;Mar del Plata;1962;0.45,0.04,0.29,0.64,0.35,0.15,0.92,0.16,0.1,0.11,0.01,0.0,0.37,0.11,0.11,0.11,0.0,0.0,0.15,0.03,0.14,0.26,0.0,0.0,0.01,-0.22,0.13,0.08,-0.04,0.0,0.0,0.0,0.0,0.26,-0.02,0.06,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,-0.01,-0.07,-0.23,0.0,0.0,-0.11,-0.28,-0.15,-0.12,-0.01,-0.11,-0.11,-0.11,-0.54,-0.16,-0.13,-0.7,-0.41,-0.33,-1.0,-0.1
Kamsky, Gata;Kasparov, Gary;Paris Immopar rapid;1992;0.13,0.22,0.16,0.48,0.21,0.3,0.86,0.12,0.16,0.04,0.01,0.26,0.13,0.08,0.13,0.18,0.15,0.04,0.2,0.0,0.0,0.13,0.0,-0.01,-0.04,0.02,0.1,0.02,0.07,-0.08,-0.07,-0.1,0.02,0.07,0.02,0.1,-0.11,-0.01,-0.02,-0.04,0.0,-0.02,-0.01,-0.11,0.0,-0.13,-0.08,0.0,-0.11,-0.06,-0.01,-0.1,-0.06,-0.06,-0.37,-0.13,-0.35,-0.05,-0.2,-0.61,-0.17,-0.3,-1.0,-0.07
Short, Nigel D;Kasparov, Gary;London rapid m theme;1993;0.28,0.13,0.17,0.37,0.3,0.86,0.03,0.44,0.11,0.09,0.3,0.3,0.47,0.34,0.16,0.1,0.0,0.2,0.29,0.27,0.22,0.3,0.0,-0.06,-0.07,0.1,0.01,0.12,0.26,-0.1,-0.08,-0.08,-0.06,-0.01,-0.26,0.09,0.07,0.01,-0.02,-0.07,0.0,-0.11,-0.2,0.0,0.03,-0.04,0.0,0.0,-0.3,-0.2,-0.27,-0.29,0.1,-0.2,-0.34,-0.35,-0.43,-0.14,-0.04,-0.46,-0.31,-0.68,-1.0,-0.27
Polgar, Judit;Spassky, Boris V;Budapest m;1993;0.4,0.08,0.1,0.55,0.46,0.04,1.0,0.07,0.15,0.05,0.09,0.05,0.09,0.15,0.13,0.26,0.0,0.14,0.09,-0.04,0.0,0.23,0.05,0.1,0.02,0.0,0.0,0.08,0.08,0.04,0.03,0.04,0.0,-0.12,-0.01,-0.01,-0.01,-0.01,-0.04,0.0,-0.14,-0.09,-0.05,-0.03,-0.02,-0.27,-0.07,0.02,-0.01,-0.09,-0.15,-0.1,-0.12,-0.08,-0.19,-0.06,-0.38,-0.02,-0.08,-0.67,-0.41,-0.3,-0.79,-0.12
Shirov,A;Polgar,Ju;SuperGM;2001;0.18,0.22,0.15,0.51,0.39,0.34,0.19,0.76,0.09,0.05,0.28,0.09,0.37,0.17,0.26,0.26,-0.1,0.07,0.11,0.15,0.06,0.2,0.12,0.0,-0.08,0.03,0.17,0.18,0.06,0.11,0.1,0.1,-0.21,0.01,-0.19,0.14,-0.08,-0.01,-0.1,-0.05,-0.04,-0.13,0.0,-0.17,-0.03,-0.12,-0.1,-0.19,-0.02,-0.19,0.0,-0.22,-0.19,-0.13,-0.29,-0.26,-0.34,-0.08,-0.2,-0.33,-0.32,-0.49,-1.0,-0.22
Panno, Oscar;Rubinetti, Jorge A;Buenos Aires;1992;0.59,0.13,0.13,0.49,0.23,0.66,0.87,0.1,0.13,0.24,-0.17,0.11,0.42,0.22,0.51,0.34,0.0,0.28,0.05,0.34,0.38,0.43,0.35,0.0,0.03,-0.04,0.17,-0.06,-0.07,0.26,-0.19,0.16,0.09,0.03,0.02,-0.07,0.41,-0.46,-0.18,-0.07,0.03,-0.09,-0.25,-0.1,-0.46,0.1,-0.11,-0.17,-0.16,-0.32,-0.13,0.0,-0.69,-0.22,-0.45,-0.28,-0.56,-0.25,-0.28,-0.55,-0.3,-0.22,-1.0,-0.18
Polgar,Ju;Camacho Calle,P;II Rapid;2007;0.21,0.03,0.04,0.56,0.23,0.22,1.0,0.08,0.09,0.07,0.07,0.1,0.09,0.1,0.07,0.1,-0.05,0.06,0.07,0.19,0.03,0.05,0.03,0.0,0.01,-0.01,0.04,0.04,0.05,0.0,0.0,0.0,0.0,0.0,-0.07,-0.01,0.13,0.0,0.0,0.0,-0.06,-0.14,-0.04,-0.01,-0.1,-0.15,-0.0,-0.04,-0.04,-0.03,-0.18,-0.04,-0.16,-0.1,-0.1,-0.06,-0.14,-0.08,-0.3,-0.1,-0.56,-0.3,-0.7,-0.19
Panno, Oscar;Cassidy, Raymond;La Habana olm prel;1966;0.17,0.36,0.17,0.57,0.25,0.14,0.95,0.11,0.09,0.13,0.5,0.0,0.05,0.13,0.23,0.06,0.0,0.01,0.12,0.0,0.01,0.11,0.11,0.07,0.04,-0.04,0.06,0.08,0.09,0.08,0.0,0.0,-0.04,-0.04,0.04,0.0,-0.05,0.0,0.0,-0.02,-0.05,0.02,-0.09,0.03,-0.12,-0.19,-0.12,0.0,-0.04,-0.17,-0.04,-0.09,-0.18,-0.13,-0.23,-0.13,-0.46,-0.12,-0.32,-0.3,-0.3,-0.4,-1.0,-0.08
Karpov, Anatoly;Kasparov, Gary;Siemens Giants;1999;0.34,0.05,0.08,0.34,0.16,0.25,0.81,0.07,0.1,0.21,-0.01,0.14,0.38,0.07,0.27,0.22,0.04,0.0,0.03,0.0,0.03,0.17,0.09,-0.03,0.0,0.0,-0.01,0.11,0.01,0.0,-0.1,-0.0,0.0,0.0,-0.02,-0.01,0.04,-0.03,-0.02,-0.01,0.0,0.0,-0.06,0.0,0.0,-0.12,-0.15,-0.06,-0.1,-0.1,-0.02,-0.21,-0.03,-0.08,-0.28,-0.04,-0.3,-0.07,-0.15,-0.39,-0.32,-0.24,-1.0,-0.07
Larsen, Bent;Panno, Oscar;Clarin;1979;0.21,0.11,0.08,0.23,0.47,0.08,1.0,0.14,0.04,0.02,0.01,0.18,0.18,0.12,0.11,0.12,0.0,0.05,0.02,0.25,0.19,0.1,0.01,0.07,0.03,-0.01,-0.03,0.06,0.09,0.0,0.0,0.0,0.0,0.05,-0.11,-0.03,-0.06,0.0,0.0,0.0,-0.03,-0.03,-0.04,-0.12,-0.07,-0.06,0.0,-0.07,-0.05,-0.09,-0.11,-0.07,-0.18,-0.36,-0.12,0.05,-0.22,-0.03,-0.26,-0.56,-0.36,-0.12,-0.76,-0.12
Kasparov, Gary;Anand, Viswanathan;Siemens Giants;1999;0.19,0.06,0.19,0.21,0.84,0.08,0.01,0.54,0.13,0.06,0.07,0.09,0.03,0.69,0.13,0.13,0.0,0.0,-0.13,0.06,0.06,0.15,0.3,0.25,0.0,-0.01,0.01,-0.14,-0.02,0.1,0.03,0.19,0.0,0.0,-0.08,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,0.02,-0.12,-0.06,-0.05,-0.13,-0.13,-0.13,-0.03,-0.02,-0.03,-0.13,-0.08,-0.4,-0.02,-0.19,-0.19,-1.0,-0.23,-0.24,-0.87
Kasparov, Gary;Karpov, Anatoly;World Championship 31th-KK1;1984;0.43,0.11,0.13,0.58,0.62,0.09,1.0,0.15,0.1,0.12,0.05,0.03,0.0,0.12,0.12,0.12,0.05,0.02,0.13,0.06,0.02,0.25,0.0,0.0,0.0,0.0,-0.04,0.0,-0.04,0.0,-0.05,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.01,0.0,-0.16,0.0,0.0,-0.12,-0.04,-0.09,-0.02,0.01,-0.12,-0.12,-0.12,-0.42,-0.13,-0.09,-0.65,-0.78,-0.26,-0.69,-0.26
Panno, Oscar;Kotronias, Vasilios;Najdorf;1997;0.26,0.11,0.12,0.45,0.37,0.09,0.93,0.09,0.1,0.06,0.0,0.05,0.21,0.08,0.24,0.05,0.0,0.08,0.07,0.03,0.09,0.1,0.05,0.05,0.1,0.0,0.07,0.01,0.03,-0.01,0.08,0.0,0.0,-0.02,0.0,0.0,-0.16,0.0,-0.05,-0.03,0.0,-0.08,-0.05,-0.06,-0.09,-0.13,-0.13,0.0,-0.1,-0.07,-0.02,-0.08,-0.02,-0.1,-0.22,-0.06,-0.33,-0.06,-0.32,-0.25,-0.21,-0.25,-1.0,-0.06
Polgar, Judit;Karpov, Anatoly;Alma-Ata m3;1995;0.23,0.02,0.18,0.23,0.67,0.28,1.0,0.2,0.09,0.07,0.04,0.09,0.42,0.13,0.12,0.11,0.01,0.12,-0.07,0.14,0.02,0.46,0.0,0.0,0.0,-0.09,0.13,0.12,0.02,0.0,0.0,0.02,-0.04,-0.0,-0.02,-0.11,0.16,0.0,0.03,0.0,0.0,-0.08,-0.03,-0.08,-0.1,-0.19,0.0,-0.09,-0.09,-0.09,-0.34,-0.05,-0.34,-0.13,-0.13,-0.04,-0.27,-0.03,-0.29,-0.3,-0.59,-0.34,-0.97,-0.2
Miles, Anthony J;Kasparov, Gary;Basel m;1986;0.62,0.05,0.45,0.74,1.0,0.26,0.69,0.53,0.3,0.3,0.21,0.04,0.04,0.3,0.28,0.17,0.0,0.0,0.16,0.16,0.05,0.16,0.02,0.0,0.28,-0.02,0.0,-0.08,0.11,0.0,-0.02,-0.04,0.0,0.03,-0.05,-0.07,-0.19,0.0,0.0,0.0,-0.22,0.0,-0.07,0.02,-0.26,-0.89,0.0,-0.13,-0.08,-0.07,-0.02,-0.17,-0.09,-0.3,-0.3,-0.17,-0.48,-0.1,-0.32,-0.88,-0.7,-0.48,-0.06,-0.89
Kaidanov,G;Polgar,Ju;Sicilian Theme Match;2010;0.13,0.03,1.0,0.51,0.64,0.07,0.01,0.2,0.05,0.14,0.14,0.05,0.0,0.02,0.14,0.14,0.08,0.02,0.13,0.1,0.01,0.19,0.0,0.22,-0.08,0.0,-0.0,0.07,0.18,0.02,0.0,0.0,-0.29,-0.01,-0.02,-0.03,-0.03,0.04,0.08,0.0,-0.03,-0.36,0.0,-0.03,-0.07,-0.04,0.0,-0.01,-0.02,-0.14,-0.32,-0.15,-0.38,-0.13,-0.06,-0.04,-0.24,-0.05,-0.23,-0.24,-0.84,-0.13,-0.03,-0.42
Kasparov,G;Vazquez Cruz,Jorge Matias;UNAM Selected Simul;2010;0.65,0.07,0.23,0.9,1.0,0.18,0.86,0.28,0.23,0.28,0.01,0.01,0.04,0.32,0.23,0.07,0.0,0.15,0.46,0.18,0.0,0.14,0.0,0.19,0.03,0.0,0.14,0.1,0.14,0.17,0.04,0.0,0.0,0.0,-0.18,0.24,0.0,-0.01,0.0,0.0,-0.22,-0.2,0.0,-0.25,0.09,-0.2,-0.24,0.0,-0.22,-0.28,-0.02,-0.05,-0.45,-0.23,-0.26,-0.28,-0.72,-0.3,-0.56,-0.72,-0.42,-0.52,-0.77,-0.18
Najdorf, Miguel;Panno, Oscar;ARG-ch;1991;0.59,0.05,0.2,0.71,0.59,0.39,0.87,0.25,0.15,0.13,0.01,0.0,0.03,0.15,0.15,0.15,0.0,0.0,0.21,0.25,0.04,0.08,0.0,0.0,0.0,-0.19,0.19,0.13,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.03,0.04,0.0,0.09,0.0,0.0,-0.06,-0.07,0.0,-0.13,-0.27,0.0,-0.0,-0.15,-0.12,-0.06,-0.05,-0.02,-0.15,-0.15,-0.14,-0.53,-0.21,-0.25,-0.88,-0.34,-0.49,-1.0,-0.15
Panno, Oscar;Andersson, Ulf;Sao Paulo;1979;0.45,0.11,0.34,0.72,0.33,0.18,0.58,0.15,0.12,0.07,0.14,0.03,0.32,0.12,0.59,0.12,0.08,0.05,0.21,0.0,0.0,0.37,0.1,0.0,0.0,0.0,0.11,0.24,0.03,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,-0.06,-0.11,0.0,-0.04,-0.11,-0.1,0.0,-0.02,-0.32,-0.13,-0.34,-0.18,-0.24,-0.12,-0.12,-0.1,-0.43,-0.31,-0.21,-0.68,-0.36,-0.44,-1.0,-0.16
Habu,Y;Kasparov,G;Dwango Habu vs Kasparov Rapid Match 2014;2014;0.11,0.87,0.3,0.54,0.25,0.22,0.06,0.45,0.17,0.64,0.21,0.43,0.09,0.04,0.21,0.02,0.0,0.05,0.07,0.04,0.12,0.16,-0.21,0.02,0.0,-0.11,0.09,0.29,0.06,0.0,0.0,0.18,-0.08,0.01,-0.03,0.1,-0.15,-0.08,0.0,-0.14,-0.07,-0.17,-0.02,-0.04,-0.06,-0.12,-0.14,-0.04,-0.22,-0.03,-0.3,-0.05,-0.21,-0.21,-0.51,-0.03,-0.32,-0.04,-0.36,-0.36,-1.0,-0.06,-0.07,-0.55
Miles, Anthony J;Kasparov, Gary;Basel m;1986;0.42,0.04,0.18,0.84,1.0,0.31,0.58,0.44,0.17,0.17,0.03,0.39,0.05,0.17,0.17,0.17,0.0,0.04,0.11,0.14,0.06,0.2,0.0,0.0,0.0,-0.01,0.04,0.19,0.01,0.0,-0.07,0.0,-0.02,-0.01,-0.01,-0.04,0.02,0.0,0.0,0.0,-0.09,-0.13,-0.05,0.0,-0.14,-0.18,0.0,0.0,-0.06,-0.25,-0.04,-0.21,-0.03,-0.17,-0.17,-0.17,-0.67,-0.11,-0.2,-0.73,-0.97,-0.37,-0.59,-0.43
Carlsen,M;Vachier Lagrave,M;83rd Tata Steel Masters;2021;0.14,0.03,0.19,0.22,0.64,0.1,0.06,0.37,0.07,0.02,0.01,0.51,0.02,0.14,0.12,0.06,0.17,0.0,0.12,0.02,0.11,0.14,0.0,0.0,0.03,0.42,-0.06,0.13,0.0,0.08,0.01,0.11,-0.05,-0.06,0.02,-0.03,0.0,0.01,0.04,0.0,-0.06,-0.06,0.01,-0.07,-0.14,-0.06,-0.12,0.05,-0.08,-0.08,0.18,-0.15,-0.02,-0.24,-0.14,-0.14,-0.22,-0.1,-0.12,-0.19,-0.54,-0.34,-1.0,-0.21
Polgar, Judit;Adams, Michael;Hoogovens;1998;0.33,0.08,0.16,0.57,0.41,0.03,1.0,0.06,0.03,0.11,0.1,0.03,0.0,0.1,0.1,0.02,0.01,0.08,0.08,0.04,0.0,0.13,0.14,0.08,0.1,0.02,0.07,0.03,0.04,0.0,0.0,0.0,-0.01,-0.01,-0.03,0.0,-0.07,0.0,0.0,0.0,-0.09,0.0,-0.1,-0.08,-0.09,-0.1,0.0,0.02,-0.01,-0.1,-0.1,-0.36,-0.09,-0.1,-0.09,-0.1,-0.24,-0.02,-0.18,-0.24,-0.52,-0.43,-0.71,-0.09
Fischer, Robert James;Osbun, E.;Davis sim;1964;0.41,0.08,0.09,0.3,0.21,0.21,1.0,0.07,0.13,0.01,0.32,0.02,0.0,0.13,0.08,0.12,0.04,0.07,0.07,0.04,0.0,0.1,0.05,-0.08,0.07,-0.0,0.1,0.0,0.1,-0.06,-0.03,0.01,-0.04,0.02,-0.04,-0.01,0.0,0.03,-0.03,-0.02,0.0,-0.09,-0.14,-0.02,-0.05,-0.06,-0.08,-0.08,-0.13,-0.04,-0.43,-0.18,0.07,-0.07,-0.11,-0.05,-0.25,-0.01,-0.15,-0.32,-0.26,-0.33,-0.49,-0.4
Speelman, Jonathan S;Kasparov, Gary;PCA/Intel-GP;1995;0.35,0.2,0.03,0.34,0.57,0.29,0.87,0.15,0.1,0.09,0.24,0.29,0.09,0.22,0.39,0.07,0.0,0.14,0.1,0.23,0.16,0.14,0.18,0.0,0.09,0.05,0.16,0.14,-0.1,0.13,-0.01,0.15,0.01,0.08,-0.07,0.07,-0.06,-0.18,0.04,-0.15,0.04,-0.11,-0.07,-0.21,-0.02,-0.19,-0.21,-0.14,-0.19,-0.11,-0.08,-0.19,-0.22,-0.22,-0.2,-0.03,-0.31,-0.11,-0.55,-0.67,-0.59,-0.17,-1.0,-0.07
Karpov, Anatoly;Kasparov, Gary;World Championship 34th-KK4;1987;0.56,0.04,0.17,0.57,0.41,0.63,1.0,0.25,0.22,0.05,0.22,-0.01,0.55,0.36,0.39,0.18,0.0,-0.02,0.15,0.38,0.17,0.02,0.24,0.0,0.0,-0.01,-0.17,0.16,0.38,0.0,0.1,0.26,-0.42,-0.21,0.01,0.25,-0.2,0.0,0.2,0.0,0.0,-0.01,-0.08,0.02,-0.03,0.03,-0.42,-0.02,-0.44,-0.2,-0.05,-0.08,-0.21,-0.58,-0.74,-0.44,-0.97,-0.14,-0.17,-0.49,-0.39,-0.23,-0.84,-0.23
Anand, Viswanathan;Polgar, Judit;Dortmund;1996;0.32,0.02,0.19,0.33,0.29,0.5,1.0,0.13,0.24,0.17,0.24,0.21,0.29,0.05,0.24,0.16,0.0,0.13,0.16,0.0,0.0,0.24,0.0,0.08,0.07,-0.11,0.16,0.08,0.06,0.13,-0.17,-0.03,-0.06,-0.08,-0.15,0.04,0.09,-0.0,0.0,-0.09,-0.13,0.0,0.0,-0.03,-0.15,-0.11,0.0,-0.14,-0.02,-0.04,-0.07,-0.22,-0.04,-0.14,-0.14,-0.11,-0.28,-0.16,-0.28,-0.59,-0.94,-0.44,-0.07,-0.71
Pierrot, Facundo;Panno, Oscar;Trelew Clarin-GP;1995;0.56,0.1,0.14,0.81,0.82,0.46,0.63,0.48,0.11,0.17,0.17,0.03,0.22,0.09,0.17,0.17,0.0,0.0,0.23,0.0,0.19,0.06,0.23,0.0,0.06,0.0,0.0,0.24,0.16,0.07,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,-0.12,0.0,-0.2,-0.07,-0.14,-0.18,0.0,0.0,-0.04,-0.17,-0.68,-0.19,-0.18,-0.17,-0.17,-0.17,-0.58,-0.13,-0.33,-0.33,-1.0,-0.36,-0.4,-0.74
Szmetan, Jorge;Panno, Oscar;Traffic op;1992;0.11,0.24,0.26,0.26,0.18,0.19,1.0,0.04,0.1,0.08,0.0,0.17,0.04,0.09,0.16,0.06,0.0,0.05,0.03,0.22,0.1,0.08,0.04,0.06,0.0,0.02,0.06,0.08,0.01,0.03,0.0,-0.06,0.0,-0.04,-0.03,0.0,-0.02,0.0,0.0,-0.0,-0.01,-0.05,-0.06,-0.08,0.0,-0.07,-0.08,-0.06,-0.06,-0.34,-0.13,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.04,-0.07,-0.5,-0.58,-0.16,-0.67,-0.17
Kortschnoj, Viktor;Fischer, Robert James;Candidats Tournament;1962;0.24,0.02,0.08,0.22,0.17,0.18,1.0,0.06,0.22,0.08,0.0,0.1,0.04,0.1,0.12,0.1,0.07,0.14,0.08,0.0,0.05,0.02,0.09,0.0,0.03,0.06,0.03,0.02,-0.05,0.0,0.0,0.0,0.0,-0.01,-0.01,0.07,-0.07,-0.06,-0.15,0.0,0.01,-0.13,-0.02,-0.06,0.0,-0.11,-0.09,-0.01,-0.03,-0.04,-0.1,-0.08,-0.12,-0.07,-0.26,-0.1,-0.18,-0.06,-0.11,-0.36,-0.11,-0.31,-0.69,-0.04
